Sequence_ID	biosample_accession
ASV10	SAMN30974273,SAMN30974253,SAMN30974255,SAMN30974252,SAMN30974272,SAMN30974254,SAMN30974270,SAMN30974291,SAMN30974292,SAMN30974306,SAMN30974307,SAMN30974274,SAMN30974290,SAMN30974251,SAMN30974271,SAMN30974305
ASV100	SAMN30974253,SAMN30974251,SAMN30974270,SAMN30974272,SAMN30974252,SAMN30974254,SAMN30974271,SAMN30974255,SAMN30974273,SAMN30974290,SAMN30974291,SAMN30974306,SAMN30974292
ASV1000	SAMN30974251,SAMN30974253,SAMN30974252,SAMN30974255,SAMN30974254,SAMN30974272,SAMN30974273,SAMN30974274,SAMN30974270,SAMN30974271,SAMN30974307,SAMN30974292
ASV1001	SAMN30974254,SAMN30974306,SAMN30974307,SAMN30974292,SAMN30974291,SAMN30974273,SAMN30974255,SAMN30974274,SAMN30974253
ASV1002	SAMN30974254,SAMN30974252,SAMN30974251,SAMN30974255,SAMN30974253,SAMN30974272,SAMN30974273,SAMN30974270,SAMN30974274,SAMN30974307,SAMN30974306,SAMN30974271,SAMN30974292,SAMN30974290,SAMN30974291,SAMN30974305
ASV1003	SAMN30974252,SAMN30974271,SAMN30974270,SAMN30974253,SAMN30974272,SAMN30974254,SAMN30974291,SAMN30974274,SAMN30974290,SAMN30974255,SAMN30974307,SAMN30974305,SAMN30974292,SAMN30974306,SAMN30974273,SAMN30974251
ASV1004	SAMN30974251,SAMN30974252,SAMN30974253,SAMN30974270,SAMN30974272,SAMN30974305,SAMN30974271,SAMN30974290,SAMN30974254,SAMN30974306
ASV1005	SAMN30974254,SAMN30974306,SAMN30974251,SAMN30974273,SAMN30974270,SAMN30974271,SAMN30974272,SAMN30974252,SAMN30974253,SAMN30974291,SAMN30974305,SAMN30974307,SAMN30974290
ASV1006	SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974270,SAMN30974272,SAMN30974271,SAMN30974254,SAMN30974305,SAMN30974290
ASV1008	SAMN30974255,SAMN30974274,SAMN30974307,SAMN30974254,SAMN30974292,SAMN30974306,SAMN30974273,SAMN30974291,SAMN30974271
ASV101	SAMN30974253,SAMN30974291,SAMN30974270,SAMN30974252,SAMN30974272,SAMN30974251,SAMN30974273,SAMN30974271,SAMN30974290,SAMN30974274,SAMN30974255,SAMN30974254,SAMN30974305,SAMN30974306,SAMN30974292
