Sequence_ID	biosample_accession
ASV100	SAMN30974251,SAMN30974252,SAMN30974273,SAMN30974272,SAMN30974290,SAMN30974291
ASV101	SAMN30974290,SAMN30974305,SAMN30974291,SAMN30974307,SAMN30974253
ASV102	SAMN30974255,SAMN30974252,SAMN30974291,SAMN30974272,SAMN30974306,SAMN30974273
ASV104	SAMN30974254,SAMN30974255,SAMN30974307,SAMN30974251,SAMN30974290,SAMN30974253,SAMN30974306,SAMN30974291,SAMN30974292,SAMN30974273,SAMN30974305,SAMN30974271,SAMN30974270,SAMN30974274
ASV105	SAMN30974251,SAMN30974253,SAMN30974254,SAMN30974252,SAMN30974271,SAMN30974306,SAMN30974291,SAMN30974290,SAMN30974274,SAMN30974270,SAMN30974292,SAMN30974305
ASV106	SAMN30974253,SAMN30974252,SAMN30974307,SAMN30974306,SAMN30974251,SAMN30974255,SAMN30974273,SAMN30974291,SAMN30974274,SAMN30974290,SAMN30974292
ASV107	SAMN30974255,SAMN30974254,SAMN30974306,SAMN30974273,SAMN30974274,SAMN30974292,SAMN30974307,SAMN30974290
ASV11	SAMN30974306,SAMN30974255,SAMN30974271,SAMN30974273,SAMN30974252,SAMN30974254,SAMN30974307,SAMN30974251,SAMN30974253,SAMN30974270,SAMN30974272,SAMN30974291,SAMN30974292,SAMN30974274,SAMN30974305,SAMN30974290
ASV111	SAMN30974254,SAMN30974252,SAMN30974251,SAMN30974255,SAMN30974253,SAMN30974307,SAMN30974270,SAMN30974273,SAMN30974272,SAMN30974305,SAMN30974290,SAMN30974274,SAMN30974291,SAMN30974292,SAMN30974306
ASV112	SAMN30974255,SAMN30974307,SAMN30974306,SAMN30974274,SAMN30974292
ASV118	SAMN30974255,SAMN30974254,SAMN30974273,SAMN30974292
ASV119	SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974272,SAMN30974271,SAMN30974290,SAMN30974270
ASV12	SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974290,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974305,SAMN30974255,SAMN30974307,SAMN30974254,SAMN30974291,SAMN30974274,SAMN30974292,SAMN30974273,SAMN30974306
ASV120	SAMN30974255,SAMN30974254,SAMN30974292,SAMN30974274,SAMN30974270
ASV121	SAMN30974306,SAMN30974271,SAMN30974305
ASV122	SAMN30974252,SAMN30974253,SAMN30974290,SAMN30974251,SAMN30974306,SAMN30974307,SAMN30974305,SAMN30974271,SAMN30974274,SAMN30974291,SAMN30974292
ASV123	SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974273,SAMN30974305,SAMN30974272,SAMN30974271
ASV131	SAMN30974255,SAMN30974274,SAMN30974273,SAMN30974291,SAMN30974306,SAMN30974307,SAMN30974292
ASV133	SAMN30974255,SAMN30974254,SAMN30974307,SAMN30974274,SAMN30974272,SAMN30974273,SAMN30974251,SAMN30974292,SAMN30974291,SAMN30974306
ASV134	SAMN30974255,SAMN30974307,SAMN30974274,SAMN30974270,SAMN30974305
ASV135	SAMN30974291,SAMN30974254,SAMN30974274,SAMN30974273,SAMN30974251
