Sequence_ID	biosample_accession
ASV10	SAMN30974273
ASV100	SAMN30974253
ASV1000	SAMN30974251
ASV1001	SAMN30974254
ASV1002	SAMN30974254
ASV1003	SAMN30974252
ASV1004	SAMN30974251
ASV1005	SAMN30974254
ASV1006	SAMN30974253
ASV1008	SAMN30974255
ASV101	SAMN30974253
ASV1010	SAMN30974307
ASV1011	SAMN30974255
ASV1012	SAMN30974253
ASV1015	SAMN30974253
ASV1017	SAMN30974255
ASV1018	SAMN30974254
ASV1019	SAMN30974292
ASV102	SAMN30974255
ASV1021	SAMN30974255
ASV1022	SAMN30974306
ASV1023	SAMN30974255
ASV1025	SAMN30974253
ASV1026	SAMN30974253
ASV1027	SAMN30974253
ASV1028	SAMN30974255
ASV1029	SAMN30974253
ASV103	SAMN30974253
ASV1030	SAMN30974255
ASV1031	SAMN30974254
ASV1032	SAMN30974255
ASV1033	SAMN30974255
ASV1034	SAMN30974307
ASV1036	SAMN30974252
ASV1037	SAMN30974307
ASV1038	SAMN30974255
ASV1039	SAMN30974255
ASV104	SAMN30974254
ASV1040	SAMN30974253
ASV1042	SAMN30974255
ASV1044	SAMN30974272
ASV1045	SAMN30974253
ASV1048	SAMN30974253
ASV105	SAMN30974273
ASV1050	SAMN30974252
ASV1051	SAMN30974307
ASV1054	SAMN30974251
ASV1055	SAMN30974255
ASV1056	SAMN30974307
ASV1057	SAMN30974255
ASV1058	SAMN30974253
ASV1059	SAMN30974273
ASV106	SAMN30974251
ASV1060	SAMN30974274
ASV1061	SAMN30974251
ASV1062	SAMN30974255
ASV1064	SAMN30974307
ASV1066	SAMN30974253
ASV1068	SAMN30974292
ASV1069	SAMN30974254
ASV107	SAMN30974273
ASV1070	SAMN30974251
ASV1071	SAMN30974253
ASV1072	SAMN30974252
ASV1073	SAMN30974305
ASV1076	SAMN30974255
ASV1077	SAMN30974255
ASV1078	SAMN30974306
ASV1079	SAMN30974254
ASV108	SAMN30974306
ASV1081	SAMN30974272
ASV1083	SAMN30974253
ASV1084	SAMN30974254
ASV1085	SAMN30974253
ASV1087	SAMN30974254
ASV1090	SAMN30974251
ASV1091	SAMN30974255
ASV1092	SAMN30974307
ASV1093	SAMN30974254
ASV1094	SAMN30974306
ASV1095	SAMN30974253
ASV1097	SAMN30974252
ASV1098	SAMN30974274
ASV1099	SAMN30974253
ASV11	SAMN30974273
ASV110	SAMN30974251
ASV1100	SAMN30974307
ASV1102	SAMN30974252
ASV1103	SAMN30974253
ASV1105	SAMN30974307
ASV1106	SAMN30974255
ASV1108	SAMN30974253
ASV1109	SAMN30974274
ASV111	SAMN30974253
ASV1111	SAMN30974272
ASV1112	SAMN30974252
ASV1116	SAMN30974253
ASV1117	SAMN30974270
ASV1118	SAMN30974252
ASV1119	SAMN30974254
ASV112	SAMN30974270
ASV1120	SAMN30974274
ASV1121	SAMN30974255
ASV1122	SAMN30974253
ASV1123	SAMN30974255
ASV1125	SAMN30974253
ASV1126	SAMN30974254
ASV1127	SAMN30974255
ASV1128	SAMN30974251
ASV1129	SAMN30974307
ASV113	SAMN30974254
ASV1130	SAMN30974251
ASV1131	SAMN30974255
ASV1132	SAMN30974255
ASV1133	SAMN30974251
ASV1134	SAMN30974255
ASV1136	SAMN30974270
ASV1137	SAMN30974307
ASV1139	SAMN30974305
ASV114	SAMN30974252
ASV1140	SAMN30974273
ASV1141	SAMN30974253
ASV1142	SAMN30974255
ASV1143	SAMN30974270
ASV1145	SAMN30974307
ASV1148	SAMN30974255
ASV1149	SAMN30974254
ASV115	SAMN30974272
ASV1150	SAMN30974255
ASV1151	SAMN30974270
ASV1152	SAMN30974307
ASV1153	SAMN30974306
ASV1154	SAMN30974307
ASV1155	SAMN30974273
ASV1156	SAMN30974252
ASV1157	SAMN30974251
ASV1158	SAMN30974254
ASV1159	SAMN30974253
ASV116	SAMN30974253
ASV1160	SAMN30974254
ASV1161	SAMN30974251
ASV1162	SAMN30974270
ASV1164	SAMN30974253
ASV1166	SAMN30974254
ASV1167	SAMN30974306
ASV1169	SAMN30974251
ASV117	SAMN30974292
ASV1170	SAMN30974255
ASV1171	SAMN30974273
ASV1172	SAMN30974253
ASV1173	SAMN30974292
ASV1174	SAMN30974253
ASV1175	SAMN30974253
ASV1176	SAMN30974253
ASV1177	SAMN30974253
ASV1178	SAMN30974306
ASV1179	SAMN30974305
ASV118	SAMN30974254
ASV1181	SAMN30974253
ASV1184	SAMN30974251
ASV1185	SAMN30974253
ASV1186	SAMN30974307
ASV1188	SAMN30974270
ASV1189	SAMN30974270
ASV119	SAMN30974253
ASV1190	SAMN30974292
ASV1191	SAMN30974251
ASV1192	SAMN30974251
ASV1193	SAMN30974255
ASV1194	SAMN30974307
ASV1195	SAMN30974251
ASV1196	SAMN30974255
ASV1197	SAMN30974255
ASV1198	SAMN30974253
ASV1199	SAMN30974252
ASV12	SAMN30974253
ASV120	SAMN30974252
ASV1200	SAMN30974253
ASV1203	SAMN30974292
ASV1204	SAMN30974254
